keahlian,keahlian_normalisasi,minat,pendidikan,jurusan,sertifikasi,ipk,label_karir,kategori_keahlian,pemetaan_tugas,keahlian_dibutuhkan,keahlian_kurang,kursus_rekomendasi,jalur_belajar,label_karir_sederhana,profil_gabungan,flag_ketidaksesuaian,data_augmentasi,encode_label_karir,encode_label_karir_sederhana,encode_pendidikan,encode_kategori_keahlian
"aws, python, data pipeline","aws, python, data pipeline","data engineering, cloud",SMA/Sederajat,teknik informatika,AWS Certified,3.44,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,aws python data pipeline data engineering cloud teknik informatika analitik data,valid,Ya,14,2,2,0
"python, dbt, data warehouse","python, dbt, data warehouse","finance, technology",SMA/Sederajat,teknik informatika,Google Data Analytics,3.36,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,python dbt data warehouse finance technology teknik informatika analitik data,valid,Ya,14,2,2,0
"python, big data, pembelajaran mesin","python, big data, pembelajaran mesin","finance, technology",Sarjana,analitik data,CFA Level 1,3.04,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,python big data pembelajaran mesin finance technology analitik data analitik data,valid,Ya,14,2,3,0
"python, big data, pembelajaran mesin","python, big data, pembelajaran mesin","teknologi, ilmu data",Sarjana,teknik informatika,CFA Level 1,3.44,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,python big data pembelajaran mesin teknologi ilmu data teknik informatika analitik data,valid,Ya,14,2,3,0
"python, dbt, data warehouse","python, dbt, data warehouse","big data, teknologi",Sarjana,teknik informatika,Google Data Analytics,3.12,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,python dbt data warehouse big data teknologi teknik informatika analitik data,valid,Ya,14,2,3,0
"kafka, spark, python","kafka, spark, python","big data, teknologi",Magister,ilmu komputer,CFA Level 1,2.96,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,kafka spark python big data teknologi ilmu komputer analitik data,valid,Ya,14,2,1,0
"python, dbt, data warehouse","python, dbt, data warehouse","teknologi, ilmu data",Magister,analitik data,Google Data Analytics,2.92,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,python dbt data warehouse teknologi ilmu data analitik data analitik data,valid,Ya,14,2,1,0
"python, big data, pembelajaran mesin","python, big data, pembelajaran mesin","finance, technology",Magister,ilmu komputer,Google Data Analytics,3.0,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,python big data pembelajaran mesin finance technology ilmu komputer analitik data,valid,Ya,14,2,1,0
"python, airflow, data engineering","python, airflow, data engineering","big data, teknologi",Doktor,teknik informatika,Sertifikasi Pemasaran Digital,3.28,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,python airflow data engineering big data teknologi teknik informatika analitik data,valid,Ya,14,2,0,0
"python, dbt, data warehouse","python, dbt, data warehouse","big data, teknologi",Sarjana,ilmu komputer,Sertifikasi Pemasaran Digital,3.08,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,python dbt data warehouse big data teknologi ilmu komputer analitik data,valid,Ya,14,2,3,0
"python, airflow, data engineering","python, airflow, data engineering","big data, teknologi",Magister,teknik informatika,AWS Certified,3.4,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,python airflow data engineering big data teknologi teknik informatika analitik data,valid,Ya,14,2,1,0
"sql, etl, data pipeline","sql, etl, data pipeline","teknologi, ilmu data",SMA/Sederajat,ilmu komputer,Tidak Ada Sertifikasi,2.96,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,sql etl data pipeline teknologi ilmu data ilmu komputer analitik data,valid,Ya,14,2,2,0
"aws, python, data pipeline","aws, python, data pipeline","big data, teknologi",Sarjana,analitik data,AWS Certified,2.96,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,aws python data pipeline big data teknologi analitik data analitik data,valid,Ya,14,2,3,0
"python, dbt, data warehouse","python, dbt, data warehouse","big data, teknologi",Doktor,analitik data,Sertifikasi Pemasaran Digital,3.08,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,python dbt data warehouse big data teknologi analitik data analitik data,valid,Ya,14,2,0,0
"python, dbt, data warehouse","python, dbt, data warehouse","big data, teknologi",Doktor,ilmu komputer,AWS Certified,3.32,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,python dbt data warehouse big data teknologi ilmu komputer analitik data,valid,Ya,14,2,0,0
"python, dbt, data warehouse","python, dbt, data warehouse","finance, technology",Doktor,teknik informatika,CFA Level 1,3.16,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,python dbt data warehouse finance technology teknik informatika analitik data,valid,Ya,14,2,0,0
"python, dbt, data warehouse","python, dbt, data warehouse","data engineering, cloud",SMA/Sederajat,teknik informatika,CFA Level 1,2.92,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,python dbt data warehouse data engineering cloud teknik informatika analitik data,valid,Ya,14,2,2,0
"data lake, python, sql","data lake, python, sql","finance, technology",Doktor,analitik data,AWS Certified,2.96,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,data lake python sql finance technology analitik data analitik data,valid,Ya,14,2,0,0
"kafka, spark, python","kafka, spark, python","big data, teknologi",SMA/Sederajat,teknik informatika,AWS Certified,2.96,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,kafka spark python big data teknologi teknik informatika analitik data,valid,Ya,14,2,2,0
"python, spark, hadoop","python, spark, hadoop","data engineering, cloud",SMA/Sederajat,ilmu komputer,CFA Level 1,3.28,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,python spark hadoop data engineering cloud ilmu komputer analitik data,valid,Ya,14,2,2,0
"aws, python, data pipeline","aws, python, data pipeline","big data, teknologi",Doktor,teknik informatika,Sertifikasi Pemasaran Digital,3.28,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,aws python data pipeline big data teknologi teknik informatika analitik data,valid,Ya,14,2,0,0
"kafka, spark, python","kafka, spark, python","data engineering, cloud",Sarjana,analitik data,CFA Level 1,2.92,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,kafka spark python data engineering cloud analitik data analitik data,valid,Ya,14,2,3,0
"kafka, spark, python","kafka, spark, python","data engineering, cloud",SMA/Sederajat,ilmu komputer,CFA Level 1,3.48,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,kafka spark python data engineering cloud ilmu komputer analitik data,valid,Ya,14,2,2,0
"python, big data, pembelajaran mesin","python, big data, pembelajaran mesin","data engineering, cloud",SMA/Sederajat,ilmu komputer,Sertifikasi Pemasaran Digital,3.24,Insinyur Data,analitik data,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Data & AI,python big data pembelajaran mesin data engineering cloud ilmu komputer analitik data,valid,Ya,14,2,2,0
"pemasaran digital, analytics, seo","pemasaran digital, analytics, seo","pemasaran, komunikasi",Magister,komunikasi,AWS Certified,3.2,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital analytics seo pemasaran komunikasi komunikasi pemasaran,valid,Ya,24,5,1,7
"copywriting, seo, media sosial","copywriting, seo, media sosial","marketing, business",Magister,komunikasi,Tidak Ada Sertifikasi,2.88,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,copywriting seo media sosial marketing business komunikasi pemasaran,valid,Ya,24,5,1,7
"pemasaran digital, analytics, seo","pemasaran digital, analytics, seo","pemasaran, media sosial",Doktor,bisnis,AWS Certified,3.32,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital analytics seo pemasaran media sosial bisnis pemasaran,valid,Ya,24,5,0,7
"pemasaran digital, seo, content strategy","pemasaran digital, seo, content strategy","digital marketing, media",Sarjana,pemasaran,Google Data Analytics,2.92,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital seo content strategy digital marketing media pemasaran pemasaran,valid,Ya,24,5,3,7
"pemasaran digital, analytics, seo","pemasaran digital, analytics, seo","pemasaran, media sosial",Doktor,pemasaran,Sertifikasi Pemasaran Digital,3.4,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital analytics seo pemasaran media sosial pemasaran pemasaran,valid,Ya,24,5,0,7
"social media marketing, seo, pemasaran digital","social media marketing, seo, pemasaran digital","pemasaran, media sosial",Sarjana,komunikasi,Tidak Ada Sertifikasi,3.32,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,social media marketing seo pemasaran digital pemasaran media sosial komunikasi pemasaran,valid,Ya,24,5,3,7
"copywriting, seo, media sosial","copywriting, seo, media sosial","pemasaran, komunikasi",SMA/Sederajat,bisnis,Sertifikasi Pemasaran Digital,3.08,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,copywriting seo media sosial pemasaran komunikasi bisnis pemasaran,valid,Ya,24,5,2,7
"social media marketing, seo, pemasaran digital","social media marketing, seo, pemasaran digital","marketing, business",Doktor,komunikasi,Sertifikasi Pemasaran Digital,3.16,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,social media marketing seo pemasaran digital marketing business komunikasi pemasaran,valid,Ya,24,5,0,7
"pemasaran digital, email marketing, seo","pemasaran digital, email marketing, seo","digital marketing, media",Magister,bisnis,CFA Level 1,3.04,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital email marketing seo digital marketing media bisnis pemasaran,valid,Ya,24,5,1,7
"pemasaran digital, seo, content creation","pemasaran digital, seo, content creation","marketing, business",Doktor,komunikasi,Google Data Analytics,3.36,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital seo content creation marketing business komunikasi pemasaran,valid,Ya,24,5,0,7
"pemasaran digital, seo, content creation","pemasaran digital, seo, content creation","pemasaran, komunikasi",Magister,komunikasi,CFA Level 1,3.4,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital seo content creation pemasaran komunikasi komunikasi pemasaran,valid,Ya,24,5,1,7
"copywriting, seo, media sosial","copywriting, seo, media sosial","marketing, business",Magister,bisnis,Tidak Ada Sertifikasi,3.2,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,copywriting seo media sosial marketing business bisnis pemasaran,valid,Ya,24,5,1,7
"pemasaran digital, email marketing, seo","pemasaran digital, email marketing, seo","digital marketing, media",Sarjana,bisnis,CFA Level 1,3.12,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital email marketing seo digital marketing media bisnis pemasaran,valid,Ya,24,5,3,7
"pemasaran digital, analytics, seo","pemasaran digital, analytics, seo","marketing, business",SMA/Sederajat,pemasaran,Tidak Ada Sertifikasi,2.88,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital analytics seo marketing business pemasaran pemasaran,valid,Ya,24,5,2,7
"pemasaran digital, email marketing, seo","pemasaran digital, email marketing, seo","pemasaran, komunikasi",SMA/Sederajat,pemasaran,Google Data Analytics,3.44,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital email marketing seo pemasaran komunikasi pemasaran pemasaran,valid,Ya,24,5,2,7
"copywriting, seo, media sosial","copywriting, seo, media sosial","marketing, business",Sarjana,komunikasi,Tidak Ada Sertifikasi,2.92,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,copywriting seo media sosial marketing business komunikasi pemasaran,valid,Ya,24,5,3,7
"penulisan konten, seo, media sosial","penulisan konten, seo, media sosial","pemasaran, komunikasi",Sarjana,pemasaran,Tidak Ada Sertifikasi,3.0,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,penulisan konten seo media sosial pemasaran komunikasi pemasaran pemasaran,valid,Ya,24,5,3,7
"pemasaran digital, analytics, seo","pemasaran digital, analytics, seo","digital marketing, media",Sarjana,bisnis,AWS Certified,3.0,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital analytics seo digital marketing media bisnis pemasaran,valid,Ya,24,5,3,7
"copywriting, seo, media sosial","copywriting, seo, media sosial","digital marketing, media",SMA/Sederajat,bisnis,Google Data Analytics,3.44,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,copywriting seo media sosial digital marketing media bisnis pemasaran,valid,Ya,24,5,2,7
"google ads, seo, pemasaran digital","google ads, seo, pemasaran digital","marketing, business",Sarjana,pemasaran,Google Data Analytics,2.96,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,google ads seo pemasaran digital marketing business pemasaran pemasaran,valid,Ya,24,5,3,7
"pemasaran digital, email marketing, seo","pemasaran digital, email marketing, seo","digital marketing, media",Magister,bisnis,Google Data Analytics,2.92,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital email marketing seo digital marketing media bisnis pemasaran,valid,Ya,24,5,1,7
"pemasaran digital, analytics, seo","pemasaran digital, analytics, seo","digital marketing, media",SMA/Sederajat,komunikasi,AWS Certified,3.48,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital analytics seo digital marketing media komunikasi pemasaran,valid,Ya,24,5,2,7
"pemasaran digital, email marketing, seo","pemasaran digital, email marketing, seo","pemasaran, media sosial",Doktor,komunikasi,AWS Certified,3.0,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital email marketing seo pemasaran media sosial komunikasi pemasaran,valid,Ya,24,5,0,7
"pemasaran digital, email marketing, seo","pemasaran digital, email marketing, seo","pemasaran, media sosial",SMA/Sederajat,pemasaran,Google Data Analytics,3.44,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital email marketing seo pemasaran media sosial pemasaran pemasaran,valid,Ya,24,5,2,7
"pemasaran digital, seo, content creation","pemasaran digital, seo, content creation","pemasaran, komunikasi",SMA/Sederajat,pemasaran,Sertifikasi Pemasaran Digital,3.2,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital seo content creation pemasaran komunikasi pemasaran pemasaran,valid,Ya,24,5,2,7
"social media marketing, seo, pemasaran digital","social media marketing, seo, pemasaran digital","pemasaran, media sosial",SMA/Sederajat,bisnis,Sertifikasi Pemasaran Digital,2.92,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,social media marketing seo pemasaran digital pemasaran media sosial bisnis pemasaran,valid,Ya,24,5,2,7
"pemasaran digital, analytics, seo","pemasaran digital, analytics, seo","marketing, business",Doktor,komunikasi,CFA Level 1,2.88,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital analytics seo marketing business komunikasi pemasaran,valid,Ya,24,5,0,7
"social media marketing, seo, pemasaran digital","social media marketing, seo, pemasaran digital","digital marketing, media",Doktor,komunikasi,Tidak Ada Sertifikasi,3.36,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,social media marketing seo pemasaran digital digital marketing media komunikasi pemasaran,valid,Ya,24,5,0,7
"pemasaran digital, seo, content strategy","pemasaran digital, seo, content strategy","pemasaran, komunikasi",Doktor,komunikasi,Tidak Ada Sertifikasi,3.48,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital seo content strategy pemasaran komunikasi komunikasi pemasaran,valid,Ya,24,5,0,7
"google ads, seo, pemasaran digital","google ads, seo, pemasaran digital","marketing, business",Magister,komunikasi,Tidak Ada Sertifikasi,3.36,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,google ads seo pemasaran digital marketing business komunikasi pemasaran,valid,Ya,24,5,1,7
"penulisan konten, seo, media sosial","penulisan konten, seo, media sosial","marketing, business",Magister,bisnis,Sertifikasi Pemasaran Digital,2.96,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,penulisan konten seo media sosial marketing business bisnis pemasaran,valid,Ya,24,5,1,7
"pemasaran digital, seo, content strategy","pemasaran digital, seo, content strategy","pemasaran, media sosial",SMA/Sederajat,bisnis,AWS Certified,3.36,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital seo content strategy pemasaran media sosial bisnis pemasaran,valid,Ya,24,5,2,7
"pemasaran digital, email marketing, seo","pemasaran digital, email marketing, seo","pemasaran, komunikasi",Magister,komunikasi,Tidak Ada Sertifikasi,3.48,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital email marketing seo pemasaran komunikasi komunikasi pemasaran,valid,Ya,24,5,1,7
"social media marketing, seo, pemasaran digital","social media marketing, seo, pemasaran digital","pemasaran, media sosial",Sarjana,pemasaran,AWS Certified,2.92,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,social media marketing seo pemasaran digital pemasaran media sosial pemasaran pemasaran,valid,Ya,24,5,3,7
"pemasaran digital, seo, content strategy","pemasaran digital, seo, content strategy","digital marketing, media",Doktor,komunikasi,CFA Level 1,2.96,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital seo content strategy digital marketing media komunikasi pemasaran,valid,Ya,24,5,0,7
"copywriting, seo, media sosial","copywriting, seo, media sosial","digital marketing, media",Doktor,bisnis,Tidak Ada Sertifikasi,2.88,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,copywriting seo media sosial digital marketing media bisnis pemasaran,valid,Ya,24,5,0,7
"pemasaran digital, seo, content creation","pemasaran digital, seo, content creation","marketing, business",SMA/Sederajat,pemasaran,Tidak Ada Sertifikasi,3.36,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital seo content creation marketing business pemasaran pemasaran,valid,Ya,24,5,2,7
"social media marketing, seo, pemasaran digital","social media marketing, seo, pemasaran digital","pemasaran, media sosial",Sarjana,komunikasi,Tidak Ada Sertifikasi,2.96,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,social media marketing seo pemasaran digital pemasaran media sosial komunikasi pemasaran,valid,Ya,24,5,3,7
"pemasaran digital, analytics, seo","pemasaran digital, analytics, seo","digital marketing, media",SMA/Sederajat,pemasaran,CFA Level 1,3.48,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital analytics seo digital marketing media pemasaran pemasaran,valid,Ya,24,5,2,7
"pemasaran digital, seo, content strategy","pemasaran digital, seo, content strategy","pemasaran, media sosial",SMA/Sederajat,bisnis,Tidak Ada Sertifikasi,3.08,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital seo content strategy pemasaran media sosial bisnis pemasaran,valid,Ya,24,5,2,7
"penulisan konten, seo, media sosial","penulisan konten, seo, media sosial","digital marketing, media",Sarjana,pemasaran,Tidak Ada Sertifikasi,2.96,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,penulisan konten seo media sosial digital marketing media pemasaran pemasaran,valid,Ya,24,5,3,7
"social media marketing, seo, pemasaran digital","social media marketing, seo, pemasaran digital","pemasaran, media sosial",SMA/Sederajat,bisnis,Sertifikasi Pemasaran Digital,3.12,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,social media marketing seo pemasaran digital pemasaran media sosial bisnis pemasaran,valid,Ya,24,5,2,7
"pemasaran digital, email marketing, seo","pemasaran digital, email marketing, seo","marketing, business",SMA/Sederajat,pemasaran,Google Data Analytics,3.04,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital email marketing seo marketing business pemasaran pemasaran,valid,Ya,24,5,2,7
